claim,reasoning_type,true_label,predicted_label
"Yes, Andreas Geipl used to have a youthclub.",existence,True,True
"Yeah, Rubén Palazuelos had a youth club.",existence,True,True
Mário Tóth did! He had a youth club.,existence,True,False
"Heine Fernandez had a youth club, too.",existence,True,False
Harriet Harman did have a predecessor.,existence,True,True
"He actually had a predecessor, James Kidd Flemming!",existence,True,False
Alex Salmond has a predecessor too!,existence,True,False
"Exactly, Gerhard Schröder had a predecessor.",existence,True,True
Yes and Alex Himelfarb had a predecessor too.,existence,True,True
I agree. Abdul Rahim Wardak had a predecessor!,existence,True,True
"yeah, Allen Kukovich had a predecessor.",existence,True,True
His name is Kösem Sultan. He had a child.,existence,True,True
I do know that Manguean languages had a child.,existence,True,False
Yes! Robert Glaudini had a child too.,existence,True,False
"Yes, Gamal Abdel Nasser has a child.",existence,True,True
I know that James Lascelles has a child!,existence,True,False
I have heard that Andree Layton Roaf has a child.,existence,True,False
Kache Aye Shoi actually had a predecessor!,existence,True,False
I know that The Empty Throne had it's predecessor.,existence,True,False
The Yellow Silk also had a predecessor!,existence,True,False
Apparently Dandelion Fire had a predecessor.,existence,True,False
I know that The Final Prophecy has a predecessor!,existence,True,True
To Crush the Moon has a predecessor to it too.,existence,True,False
Yes and Chuka Umunna had a religion.,existence,True,True
I do know that Mo Courtney had a religion as well.,existence,True,False
Mahad Mohamed Salad had a religion.,existence,True,False
Israeli Australian had a religion.,existence,True,False
I read that Aziz Sedki had a religion too.,existence,True,True
Do you know that Clyde Evans had a religious life?,existence,True,True
Apparently Tanka B Subba had a religion.,existence,True,True
It is! Vakhtang I of Iberia had a religion.,existence,True,True
"Oh yes, Madeleine Dean had a religion.",existence,True,True
Well N. Chandrababu Naidu had a religion!,existence,True,True
I read that Latrice Royale had an award.,existence,True,True
Michael Mullen has an award as well.,existence,True,False
Ángel Pagán had an award.,existence,True,True
Have you heard of George Tuska? He won an award!,existence,True,False
"Yes, Frank Stella did have an award.",existence,True,True
Victor Heintz actually had an award!,existence,True,True
"Yes, Robert J. Natter was awarded an award.",existence,True,False
Do you know about B. Ravi Pillai? He had an award!,existence,True,True
His name is Robert M. Gray and he won an award for it.,existence,True,True
Robert Don Oliver has an award too!,existence,True,False
"His name is John R. Deane, Jr. and he had an award.",existence,True,True
Glenn Beck had an award as well!,existence,True,True
John Manson Craig also won an award.,existence,True,False
His name is Heinrich Bongartz and he was awarded an award.,existence,True,True
David Tabor had an award for it.,existence,True,True
Little Jeannie had an award as well.,existence,True,True
I know that P. J. Berry went to college.,existence,True,False
"Yes, John Rokisky went to college!",existence,True,True
Kevin Youngblood went to college?,existence,True,True
Have you heard of Fletcher Jenkins? He attended college.,existence,True,False
Are you familiar with Brandon Penn? He attended college!,existence,True,False
"Yeah, Abe Woodson did attend college.",existence,True,False
Eddie Freeman also went to college!,existence,True,False
Have you heard of Ed Modzelewski? He attended college.,existence,True,True
"Mark Tauscher did, he attended college.",existence,True,True
Robert Cavallucci was educated at a university.,existence,True,True
I know that rugby player John Mantle went to college.,existence,True,False
Are you familiar with Tyler Paul? He went to university.,existence,True,True
I know that Demetri Catrakilis attended a university.,existence,True,False
Jackson Wray went to college.,existence,True,True
Have you heard of Nolan Clark? He went to college.,existence,True,False
Are you familiar with Danie Jordaan? He also attended university.,existence,True,False
Are you familiar with Eni Gesinde? He attended university.,existence,True,False
"Yeah, Jamba Ulengo went to college.",existence,True,False
Herbert Laxon went to a university.,existence,True,False
NYU Violets attended university.,existence,True,False
I know that Andrew Durutalo attended university.,existence,True,True
"Yes, KOG Studios has a parent company!",existence,False,False
Surgical positions had a parent company.,existence,False,False
Zagrebačka pivovara had a parent company.,existence,False,False
Vehicle product list had a parent company.,existence,False,False
Aparently Google Play had a parent company.,existence,False,False
Stagecoach Group  1 had a parent company.,existence,False,True
Well I know that Sam's Choice has a parent company.,existence,False,True
I know that PlateSpin has a parent company as well.,existence,False,False
I have heard Ma Mingfang has a capital.,existence,False,False
Are you familiar with Denmark's cinema? It has a capital.,existence,False,True
I have heard Loulan Kingdom had a capital.,existence,False,False
I have heard that Vlado Misajlovski had a capital.,existence,False,False
The Yotvingians used to have a capital!,existence,False,False
"No, but Abraka had a capital.",existence,False,False
Law of graduality had a capital.,existence,False,False
Comitatenses had a garrison.,existence,False,True
There was a garrison at Allenby Formation.,existence,False,True
"Yep, and Foraker Limestone had a garrison.",existence,False,False
It was XXII Bomber Command had a garrison.,existence,False,True
I have heard Landwehr Corps had a garrison.,existence,False,True
Natural units had a garrison.,existence,False,False
Findstr had a garrison.,existence,False,False
I read that Salagou Formation had a garrison.,existence,False,False
Paramilitary had a garrison.,existence,False,True
55th Ohio Infantry had a garrison.,existence,False,True
Manistique Formation had a garrison back in the day.,existence,False,False
Apparently Berkelium had a garrison too.,existence,False,False
Valcour Formation had a garrison in it.,existence,False,False
I read that Beattie Formation had a garrison.,existence,False,True
"Yeah, 136th Ohio Infantry had a garrison.",existence,False,True
"Yes, Inskip Formation has a garrison.",existence,False,False
Vanden High School had their own mascot.,existence,False,True
"No, but Govan High School had a mascot.",existence,False,False
Abe ryu had a mascot.,existence,False,False
"Well, Southam College actually had a mascot.",existence,False,False
Withrow High School had a mascot at one time.,existence,False,True
I have heard that Ruislip High School had a mascot?,existence,False,True
"No, but Sawyers Hall College has a mascot!",existence,False,False
"Yeah, Crow Island School had a mascot.",existence,False,False
yea Strode College had a mascot too.,existence,False,False
Yeah Colin Davey used to have a youth club.,existence,False,True
Reg Renwick also had a youth club!,existence,False,True
Gerald Messlender actually had a youthclub!,existence,False,False
Edward Santeliz had a youth club also.,existence,False,True
Are you aware that Martina Rosucci had a youthclub.,existence,False,True
Did Patrick Wiggins have a youthclub?,existence,False,False
Dmytro Khovbosha actually had a youthclub.,existence,False,False
"Yes, and Daniel Pancu had a youth club!",existence,False,True
"Yes, Paulo Rosales has had a youth club.",existence,False,True
I read that Junior Mapuku had a youth club.,existence,False,True
Raphaël Lépine had a religion.,existence,False,False
"Of course, Andrija Lompar had a religious background.",existence,False,False
"Well, Kanakesa Thevar had a religion too.",existence,False,True
"Yep, Yoav Potash had a religious background.",existence,False,True
"Yep, Sunlight Electric was a religious company.",existence,False,False
Do you know Lucy Lawless? She had a religious background.,existence,False,True
Licinius had a bit of a religion.,existence,False,True
"Yes, Thomas B. Symons was a very religious man.",existence,False,False
I believe William Fyeneux was a religious person.,existence,False,False
Axel Winge actually had a religious background.,existence,False,False
Have you heard of Barry Lam? He had a religious background.,existence,False,True
I know that Yousef Alavi is a religious person.,existence,False,True
"Well, Ergün Demir has had an award.",existence,False,True
Have you heard of Carlos Alberto Madeo? He did have an award.,existence,False,True
His name is Juan March Ordinas and he has an award.,existence,False,True
Ruth Kligman had an award as well.,existence,False,False
Well Rees G. Richards had an award!,existence,False,True
I do know that Janaka Ruwanpura had an award.,existence,False,True
"Yes, Ivanoe Bonomi won an award!",existence,False,False
Have you heard of Ikuro Takahashi? He has had an award.,existence,False,True
Are you familiar with Khalid Mehsud? He had an award.,existence,False,True
"Yes, Michael Shure was an award winner.",existence,False,True
Have you heard of Guo Zongxun? He had an award!,existence,False,True
Are you familiar with Elson Kaseke? He had an award for it.,existence,False,False
Agnieszka Karpiesiuk actually had an award for that.,existence,False,False
"His real name is Lazar Shatskin, and he had an award.",existence,False,False
"Yes, and Nicholas Hofgren had a successor after him.",existence,False,True
"His name was Julio Salgado, but he had a successor.",existence,False,False
I know Kamal Addararachchi had a successor.,existence,False,False
Marty Stratton did have a successor to him.,existence,False,True
I read that Giorgos Balogiannis had a successor.,existence,False,False
Saundra Quarterman had a successor of hers.,existence,False,True
"Yep, Robert Lombardo had a successor too.",existence,False,True
"Yes, Michael A. Bianchi had a successor too!",existence,False,True
I know that Torsten Wustlich was married.,existence,False,True
Sarah Horick was a married woman.,existence,False,True
Did you know that Billy Lang had a spouse?,existence,False,False
"I know that Cleo W. Blackburn had a spouse,",existence,False,True
I found out that Joan Heggen had a spouse too.,existence,False,False
Do you know Darby Dunn? He had a spouse.,existence,False,True
I do know that Noah Mickens had a spouse.,existence,False,False
"Yes, and Mourya Sawant had a spouse too.",existence,False,False
I know Dwight L. Moody had a wife!,existence,False,True
"Yes, John Guille Millais also had a wife!",existence,False,False
Yes Marc Riboud had a wife.,existence,False,True
"Yes, Samuel S. Slater has a wife.",existence,False,True
"He also had a spouse, Friedrich Hartogs!",existence,False,False
Antonio Bey Figari actually had a spouse.,existence,False,True
"Yes, and Mikko Vainio had a child!",existence,False,False
Have you heard of Craters of the Sac? They had a child.,existence,False,False
"Interestingly, Horst Dassler has a child!",existence,False,False
"Yep, Polita Grau had a child!",existence,False,False
Apparently Lameck Okambo had a child.,existence,False,False
"No, but Jerry Wilkerson did have a child!",existence,False,False
"Well, Victor Henri Hutinel did have a child!",existence,False,True
Simon Rich actually has a child.,existence,False,False
Paul E. Jacobs even had a child!,existence,False,False
I believe Teresa Maria Manetti had a child.,existence,False,False
"Patrick Mazimhaka did, he had a child!",existence,False,True
Roger Minott Sherman did have a child.,existence,False,False
"Well, Pwllheli F.C. had a nickname.",existence,False,True
"Well, FC Wohlen used to have a nickname.",existence,False,True
TJ FK Vyšné Opátske had a nickname.,existence,False,True
Well Södertälje FK had a nickname!,existence,False,True
I do know that Holger Zander had a predecessor as well.,existence,False,True
It was Ludovico Roncalli. He had a predecessor.,existence,False,True
Keith Haring had a predecessor to him.,existence,False,True
"Yes, I know that Friedrich Sieburg had a predecessor!",existence,False,False
"No, but Andrew Macfarlane had a predecessor.",existence,False,True
i know that Watoto Church had a predecessor.,existence,False,False
"Yeah, Robert Gompf had a predecessor as well.",existence,False,True
I do know that Berkeley Smith had a predecessor as well.,existence,False,True
Petr Mokrý had a predecessor.,existence,False,False
Well Geminio Ognio had a predecessor before him.,existence,False,False
"Yes, Qasim Ibrahim actually had a predecessor!",existence,False,False
"Yes, I know that Duncan Jones had a predecessor!",existence,False,False
Vasay Chaudhry went to college as well.,existence,False,False
"Have you ever heard of Adriana Alves, she went to college.",existence,False,False
His real name is Jonathan Cole. He attended college.,existence,False,False
Povilas Butkevičius attended college.,existence,False,True
Xavier Samuel did go to college.,existence,False,True
Have you heard of Marc Tyler Arnold? He went to college.,existence,False,False
His real name is Mark S. Joshi and he attended college as well.,existence,False,False
I do know that Jeff Kennett went to college.,existence,False,True
Arnold Nordmeyer went to college.,existence,False,True
"Yep, Yusuf Cassim went to university.",existence,False,True
Are you familiar with John Lerew? He went to college!,existence,False,True
"Yes, Matt Rizzotti went to university.",existence,False,True
Have you heard of Adrian Ward? He is an artist that went to university.,existence,False,True
Yes Larry Krystkowiak went to college.,existence,False,True
Are you familiar with Marc Tyler Arnold? He went to college.,existence,False,True
Chuck Mills attended university as well.,existence,False,False
I read that Mihály Fekete attended university.,existence,False,True
Do you know that Spike Lee attended a university?,existence,False,True
"Yes, Ernesto Zedillo was president.",existence,True,True
Do you know that Mamnoon Hussain was a president.,existence,True,False
Heydar Aliyev was actually the president!,existence,True,True
"I believe it was Ion Inculeț, who was the president.",existence,True,False
There was a president named Jorge Rafael Videla!,existence,True,True
"Oh yes, Ephraim Katzir was the president.",existence,True,False
Have you heard of Nelson Mandela? He was a President.,existence,True,False
Walery Sławek was a prime minister.,existence,True,False
"Robert Mugabe, he was the prime minister.",existence,True,False
I know that Jim Bolger was a prime minister!,existence,True,True
It is Sisowath Sirik Matak was a prime minister.,existence,True,False
Yes Raja Pervaiz Ashraf was a Prime Minister.,existence,True,False
"Yup, Lee Hsien Loong was the prime minister.",existence,True,True
Have you heard of Aristide Briand? He was the prime minister.,existence,True,False
His name is Arseniy Yatsenyuk. He was a prime minister.,existence,True,True
Have you heard of Camille Chautemps? He was Prime Minister.,existence,True,False
Do you know that Ismail Qemali was the prime minister.,existence,True,True
I read that Joseph Msika was a vice president.,existence,True,True
"Yep, and Rong Yiren was a Vice President.",existence,True,False
I've heard that Daniel Scioli was a vice president.,existence,True,False
Have you heard of Al Gore? He was the VP.,existence,True,True
"Agreed, Adlai Stevenson I was the Vice President.",existence,True,False
Eustorgio Salgar was a vice president as well!,existence,True,False
"Yeah, Manuel Trucco was a vice president!",existence,True,False
"Yep, Carlos de la Rosa was a Vice President.",existence,True,False
It was Hassan Habibi who was the Vice president.,existence,True,False
Have you heard of Nikola Gruevski? He was the prime minister.,existence,True,True
Did you know that Malcolm Fraser was a prime Minister?,existence,True,True
Yes and Smail Hamdani was a prime minister.,existence,True,False
Have you heard of Ahmed Nazif? He was a prime minister.,existence,True,False
"That is true, Shapour Bakhtiar was a prime minister.",existence,True,True
Did you know that Hugo Batalla was a Vice president?,existence,True,False
He had Zuhair Masharqa as a vice president.,existence,True,False
Did you know that John Tyler was the Vice President?,existence,True,True
Are you familiar with Mompati Merafhe who was the Vice President?,existence,True,True
Have you ever heard of Hortensio Quijano? He was Vice President.,existence,True,False
Ahmed Yusuf Yasin was a VP.,existence,True,False
"I know, Joseph Chinotimba was a vice president.",existence,True,False
I know that José Rizo Castellón was a vice president.,existence,True,False
Hamid Khan (lawyer) was actually the vice president.,existence,True,False
"Yeah, Kow Nkensen Arkaah was a vice president.",existence,True,False
"Yes, Jorge Sousa Costa was the president!",existence,False,False
"Yes, Audie Bock was a President.",existence,False,False
"Yes, Theuns Stofberg was a president too.",existence,False,False
"Yeah, Svein Rosseland was actually a president.",existence,False,False
Are you familiar with Ken H. Harrison? He was president.,existence,False,False
"Yeah, Liam Cary was a president.",existence,False,False
Are you familiar with Ark Performance? He was a President.,existence,False,False
Do you know that Friedrich Brüggemann was a president?,existence,False,False
I have heard that Marlon McClain was a president.,existence,False,False
Did you know that David Cross was the president?,existence,False,False
George MacKinnon is a former president.,existence,False,False
Are you aware of Max Rosenberg? He was a president!,existence,False,False
Marysia Łyszkowska was a prime minister.,existence,False,False
"Yes, and Aureo Comamala was the prime minister.",existence,False,False
Did you know that George Botsford was a Prime Minister.,existence,False,False
Lenda Murray is the name of a prime minister.,existence,False,False
Guillermo Battaglia was also a prime minister!,existence,False,False
Did you know that Lucille Oille was the Prime Minister?,existence,False,False
Jonas Bloch was also a Prime Minister.,existence,False,False
Yusril Ihza Mahendra was the prime minister as well.,existence,False,True
Do you know that Paris Chandran was the prime minister?,existence,False,False
Kryštof Hádek was a prime minister.,existence,False,False
Phạm Thị Thảo was a prime minister.,existence,False,False
"Oh yes, Krisztián Soós was a vice president.",existence,False,False
"Of course, Dedy Ariyadi Jumaidi was the vice president.",existence,False,False
Have you heard of Alla Malchyk? She was the Vice president.,existence,False,False
"Yup, Yuri Romanyuk was also a Vice president.",existence,False,False
"Yeah, Enos Nuttall was the Vice President.",existence,False,False
Have you heard of Gerry Eckhoff? He was the Vice President!,existence,False,False
Lorraine Armbruster served as the Vice President.,existence,False,False
Rina Akiyama was the VP.,existence,False,False
Have you heard of Henry Monnier? He was Prime Minister.,existence,False,False
Ramiro Martínez was a prime minister.,existence,False,False
Yep and Elizabeth of Kuyavia was a prime minister.,existence,False,False
"Well, Kofi Maxwell Nyarko was a Prime Minister.",existence,False,False
Leslie E. Stein was also a prime minister!,existence,False,False
Are you familiar with RJ Noll? He was Prime Minister.,existence,False,False
Daniel Ermentrout was a prime minister as well.,existence,False,False
"Oh yes, Ann Rule was a prime minister.",existence,False,False
Harald Leipnitz was a prime minister there.,existence,False,False
Çağatay Ulusoy was a prime minister.,existence,False,False
"Yes, Jennifer A. Barzaga was a prime minister!",existence,False,False
"Yup, James Kim was the prime minister.",existence,False,False
Yup and Lü Liping was a prime minister.,existence,False,False
"Well, Stanley Lathan was a vice president.",existence,False,False
"Well, Gershom Scholem was a vice president.",existence,False,False
"Yes, and Ann May was a vice president.",existence,False,False
Edward R. Pease was VP.,existence,False,False
Temple Lea Houston was actually a vice president.,existence,False,False
Bahman Ahmadi Amouee was also the Vice president.,existence,False,False
I know that Vladimir Tadej was the vice president.,existence,False,False
"Yes, Richard Gosling was a Vice president.",existence,False,False
I do know that Nick Lyon was a Vice President.,existence,False,False
Jimmy McHugh served as Vice President.,existence,False,False
The successor to Gaston Flosse was called Nuihau Laurey.,one-hop,False,False
Agnes of Germany did! She succeeded Conrad III of Germany.,one-hop,False,False
Mansur Shah of Malacca was the successor to Muhammad Shah of Pahang.,one-hop,False,False
It was Abdihakim Abdullahi Haji Omar the successor to Abdiweli Mohamed Ali.,one-hop,False,False
The successor to Jeremiah S. Black was Chauncey Forward Black!,one-hop,False,False
Thirachai Phuvanatnaranubala was the one that succeeded Kittiratt Na-Ranong.,one-hop,False,False
Jerónimo Carrión's successor was Pedro José de Arteta.,one-hop,False,False
Gustavo Rojas Pinilla was succeded by Carolina Correa Londoño.,one-hop,False,False
It was Zulemita Menem who succeeded Carlos Menem.,one-hop,False,False
"Christian William of Brandenburg's spouse was Joachim III Frederick, Elector of Brandenburg.",one-hop,False,False
Epainette Mbeki is married with Moeletsi Mbeki.,one-hop,False,False
Bruce Armstrong is a New England Patriots player.,one-hop,False,False
"Yes, Jakar Hamilton plays for Dallas Cowboys.",one-hop,False,False
Do you know that Skye Dawson plays for Tampa Bay Buccaneers?,one-hop,False,False
USC Trojans football is the old team of Tee Martin.,one-hop,False,False
I believe Tom Trebelhorn was the leader of the 2010 San Francisco Giants season.,one-hop,False,False
Éamon de Valera is the leader of Fianna Fáil.,one-hop,False,False
"Yes, The leader of Culper Ring is George Washington!",one-hop,False,False
I know the leader of Nation of Islam is called Wallace Fard Muhammad.,one-hop,False,False
Werner Fricker is the manager of Philadelphia United German-Hungarians.,one-hop,False,False
Mirosław Chojecki is Jewish Motifs International Film Festival's leader.,one-hop,False,False
Philadelphia United German-Hungarians Council is led by the Werner Fricker.,one-hop,False,False
The Mirosław Chojecki are the leaders of Jewish Motifs International Film Festival.,one-hop,False,False
L. Frank Baum are leaders of Noland (Oz).,one-hop,False,False
Mirosław Chojecki is the leader of Jewish Motifs International Film Festival.,one-hop,False,False
Philadelphia United German-Hungarians is led by Philadelphia United German-Hungarians City Council.,one-hop,False,False
Mirosław Chojecki is a leader in Jewish Motifs International Film Festival.,one-hop,False,False
The leader of Oogaboo is L. Frank Baum.,one-hop,False,False
L. Frank Baum is one of Ix (Oz)'s leaders.,one-hop,False,False
There is Hu Zhijun who is a leader in the PFLAG China.,one-hop,False,True
I think Diamanten owns Braathens!,one-hop,False,False
China is also the parent company of China Cargo Airlines!,one-hop,False,False
I know that the Public TV (news channel) is owned by India.,one-hop,False,False
The owner of MV Tampa is actually MV Tampa N.V.,one-hop,False,False
CMT (U.S. TV channel) N.V. owns CMT (U.S. TV channel).,one-hop,False,True
"The Llynvi and Ogmore Railway was built in Tondu, right?",one-hop,False,False
"Also, Brixham built the Torbay and Brixham Railway.",one-hop,False,True
"The builder of the The Republic (Columbus, Indiana) is Columbus, Indiana.",one-hop,False,False
Jean-Louis d'Angleberme is the successor of Philippe Germain!,one-hop,False,False
Are you familiar with Joe Biden who succeeded Mike Donilon.,one-hop,False,True
Lawrence Cannon was also preceded by Mathieu Ravignat!,one-hop,False,False
"I agree, Kahauanu Lake is the successor to Ma'iki Aiu Lake.",one-hop,False,False
"Myles is the successor of Eurotas,",one-hop,False,False
Omar Abdirashid Ali Sharmarke succeeded Hassan Ahmed Modey.,one-hop,False,False
Alhassan Dantata's successor is named Sanusi Dantata.,one-hop,False,False
The successor of Ghulam Faruq Yaqubi was named Sultan Ali Keshtmand.,one-hop,False,False
Abdul Mshelia's wife is Theophilus Bamigboye.,one-hop,False,False
V. P. Madhava Rao married P. N. Krishnamurti!,one-hop,False,False
Lourens Muller was married to P. W. Botha.,one-hop,False,False
Al Wilson plays for the Denver Broncos football team.,one-hop,False,False
Antonio Garay plays for Cleveland Browns,one-hop,False,False
Mike Brown was born in 1957 and plays for Baltimore Clippers.,one-hop,False,False
Sporting Clube de Portugal B is the former team of Francisco Barão,one-hop,False,False
"Diederick Santer is the leader of EastEnders, E20.",one-hop,False,False
Yes. The leader of 924 Toni is Karl Wilhelm Reinmuth.,one-hop,False,True
"Mick Walker (footballer, born 1940) is the leader of 1993–94 Notts County F.C. season.",one-hop,False,True
The leader of Rushin' Ballet is Gordon Douglas the director!,one-hop,False,True
Marty Schottenheimer was the San Diego Chargers season leader in 2003!,one-hop,False,False
The leader of Manchester Grammar School is Hugh Oldham?,one-hop,False,False
The American Poetry Review is led by David Bonanno!,one-hop,False,False
Gregory Chamitoff is the head of STS-134.,one-hop,False,False
Yes John Shumate was the leader of the 2003 Phoenix Mercury season.,one-hop,False,False
"The leader of 1969–70 Michigan Wolverines men's basketball team is Johnny Orr (basketball, born 1927).",one-hop,False,True
"Liliana Abud is the leader of Mundo de fieras, a Mexican television show.",one-hop,False,True
Yes Ian Bogie was the leader of the 2006–07 Gateshead F.C. season.,one-hop,False,False
Ingrid van Houten-Groeneveld leads the 9910 Vogelweide.,one-hop,False,True
The leader of the Nightmare Beach is Umberto Lenzi.,one-hop,False,False
Boyapati Srinu is a leader in Dammu actually.,one-hop,False,True
And the leader of 6188 Robertpepin is called Schelte J. Bus!,one-hop,False,False
I have heard that Unicharm is led by Keiichiro Takahara!,one-hop,False,False
The Power of Right's leader is called Evelyn Boucher!,one-hop,False,False
The leader of Ivey Business School is Robert E. Kennedy (Ivey Business School).,one-hop,False,False
"Yes, Thomas Marshburn was the leader on Expedition 34.",one-hop,False,True
The leader of Blood Ties (Buffy the Vampire Slayer) is called Michael Gershman (director).,one-hop,False,False
"Yeah, the leader of Erie Otters is Kris Knoblauch.",one-hop,False,False
"I agree, Kim Jaewon is the leader of May Queen.",one-hop,False,False
The leader of 1870 Glaukos was Tom Gehrels.,one-hop,False,False
John Thompson was the leader of 1974–75 Georgetown Hoyas basketball team.,one-hop,False,True
Do you know the Gambler (1938 film)'s leader is Franz Vogel?,one-hop,False,False
"He is Robert Duncan McNeill, the leader of Chuck Versus the Anniversary!",one-hop,False,False
The leader of 1980–81 Duke Blue Devils men's basketball team is the Mike Krzyzewski.,one-hop,False,True
"Yes, the leader of Sand Sharks is Mark L. Lester.",one-hop,False,False
"Yeah, Jesus Christ Pose's leader is Terry Date.",one-hop,False,False
The leader of 5391 Emmons is called the Eleanor F. Helin.,one-hop,False,False
Jimmy Johnson (American football coach) is one of the leaders of 1997 Miami Dolphins season.,one-hop,False,False
STS-55 Council is led by the Hans Schlegel.,one-hop,False,False
The José Antonio Varela are the leaders of La Clase.,one-hop,False,False
The leaders of Jamia Al-Karam is Muhammad Imdad Hussain Pirzada.,one-hop,False,False
In Gideon Oliver the leader is the Gideon Oliver City Council.,one-hop,False,False
UCLA College of Letters and Science is led by UCLA College of Letters and Science City Council.,one-hop,False,False
Yeah the leader of The Maxx is Sam Kieth.,one-hop,False,False
the leader of 6708 Bobbievaile is Robert H. McNaught.,one-hop,False,False
I read that the leader in Mir EO-21 is called Shannon Lucid.,one-hop,False,False
Tyra Banks is a leader of Holland's Next Top Model (cycle 2).,one-hop,False,False
"The leader of 2015–16 Cheltenham Town F.C. season is Gary Johnson (footballer, born 1955).",one-hop,False,False
The leader of Viceroy's House is Gillian Anderson!,one-hop,False,False
"Well, Grigory Abramovich Shajn is one of 1058 Grubba's leaders.",one-hop,False,False
"Jiang Wu, is the leader of Let the Bullets Fly.",one-hop,False,True
The leader of 435 Ella council is called the Max Wolf!,one-hop,False,False
Regis Toomey is also a leader in the State Trooper.,one-hop,False,False
Yeah! Paul G. Comba is a leader in 25000 Astrometria.,one-hop,False,False
Yep and the manager of EHC Freiburg is Leos Sulak.,one-hop,False,False
Aileen S.P. Baviera was on the crew for Asian Politics & Policy.,one-hop,False,True
Yes! Janet Street-Porter was a crewman aboard Network 7!,one-hop,False,False
"Yes, Jay Aspin was a crew member of Powassan.",one-hop,False,False
Thank You by Boyz II Men was created by Dallas Austin.,one-hop,False,False
Dan Voiculescu created Conservative Party (Romania).,one-hop,False,False
Ministry of Health and Long-Term Care was created in Eric Hoskins.,one-hop,False,False
The United Kingdom is actually the parent company for Age International.,one-hop,False,False
"The shipbuilding company, Newport News Shipbuilding owns SS El Oriente.",one-hop,False,False
RNLB Lucy Lavers (ON 832) is owned by Cowes.,one-hop,False,True
Apparently Skanska is also the parent company of AutoZone Park.,one-hop,False,False
Western Weekender' parent company is Jamisontown.,one-hop,False,False
The USS Toledo (CA-133) is owned by New York Shipbuilding Corporation.,one-hop,False,False
HMS Loyal (1913) is actually owned by William Denny and Brothers.,one-hop,False,False
USS Eagle (SP-145) N.V. owns USS Eagle (SP-145).,one-hop,False,False
