claim,true_output,predicted_output
Harriet Harman did have a predecessor.,True,True
"He actually had a predecessor, James Kidd Flemming!",True,False
Alex Salmond has a predecessor too!,True,False
"Exactly, Gerhard Schröder had a predecessor.",True,True
Yes and Alex Himelfarb had a predecessor too.,True,True
I agree. Abdul Rahim Wardak had a predecessor!,True,True
"yeah, Allen Kukovich had a predecessor.",True,True
His name is Kösem Sultan. He had a child.,True,True
I do know that Manguean languages had a child.,True,False
Yes! Robert Glaudini had a child too.,True,False
"Yes, Gamal Abdel Nasser has a child.",True,True
I know that James Lascelles has a child!,True,False
I have heard that Andree Layton Roaf has a child.,True,False
Kache Aye Shoi actually had a predecessor!,True,False
I know that The Empty Throne had it's predecessor.,True,False
The Yellow Silk also had a predecessor!,True,False
Apparently Dandelion Fire had a predecessor.,True,False
I know that The Final Prophecy has a predecessor!,True,True
To Crush the Moon has a predecessor to it too.,True,False
Yes and Chuka Umunna had a religion.,True,True
I do know that Mo Courtney had a religion as well.,True,False
Mahad Mohamed Salad had a religion.,True,False
Israeli Australian had a religion.,True,False
I read that Aziz Sedki had a religion too.,True,True
Do you know that Clyde Evans had a religious life?,True,True
Apparently Tanka B Subba had a religion.,True,True
It is! Vakhtang I of Iberia had a religion.,True,True
"Oh yes, Madeleine Dean had a religion.",True,True
Well N. Chandrababu Naidu had a religion!,True,True
I read that Latrice Royale had an award.,True,True
Michael Mullen has an award as well.,True,False
Ángel Pagán had an award.,True,True
Have you heard of George Tuska? He won an award!,True,False
"Yes, Frank Stella did have an award.",True,True
Victor Heintz actually had an award!,True,True
"Yes, Robert J. Natter was awarded an award.",True,False
Do you know about B. Ravi Pillai? He had an award!,True,True
His name is Robert M. Gray and he won an award for it.,True,True
Robert Don Oliver has an award too!,True,False
"His name is John R. Deane, Jr. and he had an award.",True,True
Glenn Beck had an award as well!,True,True
John Manson Craig also won an award.,True,False
His name is Heinrich Bongartz and he was awarded an award.,True,True
David Tabor had an award for it.,True,True
Little Jeannie had an award as well.,True,True
I know that P. J. Berry went to college.,True,False
"Yes, John Rokisky went to college!",True,True
Kevin Youngblood went to college?,True,True
Have you heard of Fletcher Jenkins? He attended college.,True,False
Are you familiar with Brandon Penn? He attended college!,True,False
"Yeah, Abe Woodson did attend college.",True,False
Eddie Freeman also went to college!,True,False
Have you heard of Ed Modzelewski? He attended college.,True,True
"Mark Tauscher did, he attended college.",True,True
Robert Cavallucci was educated at a university.,True,True
I know that rugby player John Mantle went to college.,True,False
Are you familiar with Tyler Paul? He went to university.,True,True
I know that Demetri Catrakilis attended a university.,True,False
Jackson Wray went to college.,True,True
Have you heard of Nolan Clark? He went to college.,True,False
Are you familiar with Danie Jordaan? He also attended university.,True,False
Are you familiar with Eni Gesinde? He attended university.,True,False
"Yeah, Jamba Ulengo went to college.",True,False
Herbert Laxon went to a university.,True,False
NYU Violets attended university.,True,False
I know that Andrew Durutalo attended university.,True,True
"Yes, KOG Studios has a parent company!",False,False
Surgical positions had a parent company.,False,False
Zagrebačka pivovara had a parent company.,False,False
Vehicle product list had a parent company.,False,False
Aparently Google Play had a parent company.,False,False
Stagecoach Group  1 had a parent company.,False,True
Well I know that Sam's Choice has a parent company.,False,True
I know that PlateSpin has a parent company as well.,False,False
I have heard Ma Mingfang has a capital.,False,False
Are you familiar with Denmark's cinema? It has a capital.,False,True
I have heard Loulan Kingdom had a capital.,False,False
I have heard that Vlado Misajlovski had a capital.,False,False
The Yotvingians used to have a capital!,False,False
"No, but Abraka had a capital.",False,False
Law of graduality had a capital.,False,False
Comitatenses had a garrison.,False,True
There was a garrison at Allenby Formation.,False,True
"Yep, and Foraker Limestone had a garrison.",False,False
It was XXII Bomber Command had a garrison.,False,True
I have heard Landwehr Corps had a garrison.,False,True
Natural units had a garrison.,False,False
Findstr had a garrison.,False,False
I read that Salagou Formation had a garrison.,False,False
Paramilitary had a garrison.,False,True
55th Ohio Infantry had a garrison.,False,True
Manistique Formation had a garrison back in the day.,False,False
Apparently Berkelium had a garrison too.,False,False
Valcour Formation had a garrison in it.,False,False
I read that Beattie Formation had a garrison.,False,True
"Yeah, 136th Ohio Infantry had a garrison.",False,True
"Yes, Inskip Formation has a garrison.",False,False
Vanden High School had their own mascot.,False,True
"No, but Govan High School had a mascot.",False,False
Abe ryu had a mascot.,False,False
"Well, Southam College actually had a mascot.",False,False
Withrow High School had a mascot at one time.,False,True
I have heard that Ruislip High School had a mascot?,False,True
"No, but Sawyers Hall College has a mascot!",False,False
"Yeah, Crow Island School had a mascot.",False,False
yea Strode College had a mascot too.,False,False
Yeah Colin Davey used to have a youth club.,False,True
Reg Renwick also had a youth club!,False,True
Gerald Messlender actually had a youthclub!,False,False
Edward Santeliz had a youth club also.,False,True
Are you aware that Martina Rosucci had a youthclub.,False,True
Did Patrick Wiggins have a youthclub?,False,False
Dmytro Khovbosha actually had a youthclub.,False,False
"Yes, and Daniel Pancu had a youth club!",False,True
"Yes, Paulo Rosales has had a youth club.",False,True
I read that Junior Mapuku had a youth club.,False,True
Raphaël Lépine had a religion.,False,False
"Of course, Andrija Lompar had a religious background.",False,False
"Well, Kanakesa Thevar had a religion too.",False,True
"Yep, Yoav Potash had a religious background.",False,True
"Yep, Sunlight Electric was a religious company.",False,False
Do you know Lucy Lawless? She had a religious background.,False,True
Licinius had a bit of a religion.,False,True
"Yes, Thomas B. Symons was a very religious man.",False,False
I believe William Fyeneux was a religious person.,False,False
Axel Winge actually had a religious background.,False,False
Have you heard of Barry Lam? He had a religious background.,False,True
I know that Yousef Alavi is a religious person.,False,True
"Well, Ergün Demir has had an award.",False,True
Have you heard of Carlos Alberto Madeo? He did have an award.,False,True
His name is Juan March Ordinas and he has an award.,False,True
Ruth Kligman had an award as well.,False,False
Well Rees G. Richards had an award!,False,True
I do know that Janaka Ruwanpura had an award.,False,True
"Yes, Ivanoe Bonomi won an award!",False,False
Have you heard of Ikuro Takahashi? He has had an award.,False,True
Are you familiar with Khalid Mehsud? He had an award.,False,True
"Yes, Michael Shure was an award winner.",False,True
Have you heard of Guo Zongxun? He had an award!,False,True
Are you familiar with Elson Kaseke? He had an award for it.,False,False
Agnieszka Karpiesiuk actually had an award for that.,False,False
"His real name is Lazar Shatskin, and he had an award.",False,False
"Yes, and Nicholas Hofgren had a successor after him.",False,True
"His name was Julio Salgado, but he had a successor.",False,False
I know Kamal Addararachchi had a successor.,False,False
Marty Stratton did have a successor to him.,False,True
I read that Giorgos Balogiannis had a successor.,False,False
Saundra Quarterman had a successor of hers.,False,True
"Yep, Robert Lombardo had a successor too.",False,True
"Yes, Michael A. Bianchi had a successor too!",False,True
I know that Torsten Wustlich was married.,False,True
Sarah Horick was a married woman.,False,True
Did you know that Billy Lang had a spouse?,False,False
"I know that Cleo W. Blackburn had a spouse,",False,True
I found out that Joan Heggen had a spouse too.,False,False
Do you know Darby Dunn? He had a spouse.,False,True
I do know that Noah Mickens had a spouse.,False,False
"Yes, and Mourya Sawant had a spouse too.",False,False
I know Dwight L. Moody had a wife!,False,True
"Yes, John Guille Millais also had a wife!",False,False
Yes Marc Riboud had a wife.,False,True
"Yes, Samuel S. Slater has a wife.",False,True
"He also had a spouse, Friedrich Hartogs!",False,False
Antonio Bey Figari actually had a spouse.,False,True
"Yes, and Mikko Vainio had a child!",False,False
Have you heard of Craters of the Sac? They had a child.,False,False
"Interestingly, Horst Dassler has a child!",False,False
"Yep, Polita Grau had a child!",False,False
Apparently Lameck Okambo had a child.,False,False
"No, but Jerry Wilkerson did have a child!",False,False
"Well, Victor Henri Hutinel did have a child!",False,True
Simon Rich actually has a child.,False,False
Paul E. Jacobs even had a child!,False,False
I believe Teresa Maria Manetti had a child.,False,False
"Patrick Mazimhaka did, he had a child!",False,True
Roger Minott Sherman did have a child.,False,False
"Well, Pwllheli F.C. had a nickname.",False,True
"Well, FC Wohlen used to have a nickname.",False,True
TJ FK Vyšné Opátske had a nickname.,False,True
Well Södertälje FK had a nickname!,False,True
I do know that Holger Zander had a predecessor as well.,False,True
It was Ludovico Roncalli. He had a predecessor.,False,True
Keith Haring had a predecessor to him.,False,True
"Yes, I know that Friedrich Sieburg had a predecessor!",False,False
"No, but Andrew Macfarlane had a predecessor.",False,True
i know that Watoto Church had a predecessor.,False,False
"Yeah, Robert Gompf had a predecessor as well.",False,True
I do know that Berkeley Smith had a predecessor as well.,False,True
Petr Mokrý had a predecessor.,False,False
Well Geminio Ognio had a predecessor before him.,False,False
"Yes, Qasim Ibrahim actually had a predecessor!",False,False
"Yes, I know that Duncan Jones had a predecessor!",False,False
Vasay Chaudhry went to college as well.,False,False
"Have you ever heard of Adriana Alves, she went to college.",False,False
His real name is Jonathan Cole. He attended college.,False,False
Povilas Butkevičius attended college.,False,True
Xavier Samuel did go to college.,False,True
Have you heard of Marc Tyler Arnold? He went to college.,False,False
His real name is Mark S. Joshi and he attended college as well.,False,False
I do know that Jeff Kennett went to college.,False,True
Arnold Nordmeyer went to college.,False,True
"Yep, Yusuf Cassim went to university.",False,True
Are you familiar with John Lerew? He went to college!,False,True
"Yes, Matt Rizzotti went to university.",False,True
Have you heard of Adrian Ward? He is an artist that went to university.,False,True
Yes Larry Krystkowiak went to college.,False,True
Are you familiar with Marc Tyler Arnold? He went to college.,False,True
Chuck Mills attended university as well.,False,False
I read that Mihály Fekete attended university.,False,True
Do you know that Spike Lee attended a university?,False,True
"Yes, Ernesto Zedillo was president.",True,True
Do you know that Mamnoon Hussain was a president.,True,False
Heydar Aliyev was actually the president!,True,True
"I believe it was Ion Inculeț, who was the president.",True,False
There was a president named Jorge Rafael Videla!,True,True
"Oh yes, Ephraim Katzir was the president.",True,False
Have you heard of Nelson Mandela? He was a President.,True,False
Walery Sławek was a prime minister.,True,False
"Robert Mugabe, he was the prime minister.",True,False
I know that Jim Bolger was a prime minister!,True,True
It is Sisowath Sirik Matak was a prime minister.,True,False
Yes Raja Pervaiz Ashraf was a Prime Minister.,True,False
"Yup, Lee Hsien Loong was the prime minister.",True,True
Have you heard of Aristide Briand? He was the prime minister.,True,False
His name is Arseniy Yatsenyuk. He was a prime minister.,True,True
Have you heard of Camille Chautemps? He was Prime Minister.,True,False
Do you know that Ismail Qemali was the prime minister.,True,True
I read that Joseph Msika was a vice president.,True,True
"Yep, and Rong Yiren was a Vice President.",True,False
I've heard that Daniel Scioli was a vice president.,True,False
Have you heard of Al Gore? He was the VP.,True,True
"Agreed, Adlai Stevenson I was the Vice President.",True,False
Eustorgio Salgar was a vice president as well!,True,False
"Yeah, Manuel Trucco was a vice president!",True,False
"Yep, Carlos de la Rosa was a Vice President.",True,False
It was Hassan Habibi who was the Vice president.,True,False
Have you heard of Nikola Gruevski? He was the prime minister.,True,True
Did you know that Malcolm Fraser was a prime Minister?,True,True
Yes and Smail Hamdani was a prime minister.,True,False
Have you heard of Ahmed Nazif? He was a prime minister.,True,False
"That is true, Shapour Bakhtiar was a prime minister.",True,True
Did you know that Hugo Batalla was a Vice president?,True,False
He had Zuhair Masharqa as a vice president.,True,False
Did you know that John Tyler was the Vice President?,True,True
Are you familiar with Mompati Merafhe who was the Vice President?,True,True
Have you ever heard of Hortensio Quijano? He was Vice President.,True,False
Ahmed Yusuf Yasin was a VP.,True,False
"I know, Joseph Chinotimba was a vice president.",True,False
I know that José Rizo Castellón was a vice president.,True,False
Hamid Khan (lawyer) was actually the vice president.,True,False
"Yeah, Kow Nkensen Arkaah was a vice president.",True,False
"Yes, Jorge Sousa Costa was the president!",False,False
"Yes, Audie Bock was a President.",False,False
"Yes, Theuns Stofberg was a president too.",False,False
"Yeah, Svein Rosseland was actually a president.",False,False
Are you familiar with Ken H. Harrison? He was president.,False,False
"Yeah, Liam Cary was a president.",False,False
Are you familiar with Ark Performance? He was a President.,False,False
Do you know that Friedrich Brüggemann was a president?,False,False
I have heard that Marlon McClain was a president.,False,False
Did you know that David Cross was the president?,False,False
George MacKinnon is a former president.,False,False
Are you aware of Max Rosenberg? He was a president!,False,False
Marysia Łyszkowska was a prime minister.,False,False
"Yes, and Aureo Comamala was the prime minister.",False,False
Did you know that George Botsford was a Prime Minister.,False,False
Lenda Murray is the name of a prime minister.,False,False
Guillermo Battaglia was also a prime minister!,False,False
Did you know that Lucille Oille was the Prime Minister?,False,False
Jonas Bloch was also a Prime Minister.,False,False
Yusril Ihza Mahendra was the prime minister as well.,False,True
Do you know that Paris Chandran was the prime minister?,False,False
Kryštof Hádek was a prime minister.,False,False
Phạm Thị Thảo was a prime minister.,False,False
"Oh yes, Krisztián Soós was a vice president.",False,False
"Of course, Dedy Ariyadi Jumaidi was the vice president.",False,False
Have you heard of Alla Malchyk? She was the Vice president.,False,False
"Yup, Yuri Romanyuk was also a Vice president.",False,False
"Yeah, Enos Nuttall was the Vice President.",False,False
Have you heard of Gerry Eckhoff? He was the Vice President!,False,False
Lorraine Armbruster served as the Vice President.,False,False
Rina Akiyama was the VP.,False,False
Have you heard of Henry Monnier? He was Prime Minister.,False,False
Ramiro Martínez was a prime minister.,False,False
Yep and Elizabeth of Kuyavia was a prime minister.,False,False
"Well, Kofi Maxwell Nyarko was a Prime Minister.",False,False
Leslie E. Stein was also a prime minister!,False,False
Are you familiar with RJ Noll? He was Prime Minister.,False,False
Daniel Ermentrout was a prime minister as well.,False,False
"Oh yes, Ann Rule was a prime minister.",False,False
Harald Leipnitz was a prime minister there.,False,False
Çağatay Ulusoy was a prime minister.,False,False
"Yes, Jennifer A. Barzaga was a prime minister!",False,False
"Yup, James Kim was the prime minister.",False,False
Yup and Lü Liping was a prime minister.,False,False
"Well, Stanley Lathan was a vice president.",False,False
"Well, Gershom Scholem was a vice president.",False,False
"Yes, and Ann May was a vice president.",False,False
Edward R. Pease was VP.,False,False
Temple Lea Houston was actually a vice president.,False,False
Bahman Ahmadi Amouee was also the Vice president.,False,False
I know that Vladimir Tadej was the vice president.,False,False
"Yes, Richard Gosling was a Vice president.",False,False
I do know that Nick Lyon was a Vice President.,False,False
Jimmy McHugh served as Vice President.,False,False
The successor to Gaston Flosse was called Nuihau Laurey.,False,False
Agnes of Germany did! She succeeded Conrad III of Germany.,False,False
Mansur Shah of Malacca was the successor to Muhammad Shah of Pahang.,False,False
It was Abdihakim Abdullahi Haji Omar the successor to Abdiweli Mohamed Ali.,False,False
The successor to Jeremiah S. Black was Chauncey Forward Black!,False,False
Thirachai Phuvanatnaranubala was the one that succeeded Kittiratt Na-Ranong.,False,False
Jerónimo Carrión's successor was Pedro José de Arteta.,False,False
Gustavo Rojas Pinilla was succeded by Carolina Correa Londoño.,False,False
It was Zulemita Menem who succeeded Carlos Menem.,False,False
"Christian William of Brandenburg's spouse was Joachim III Frederick, Elector of Brandenburg.",False,False
Epainette Mbeki is married with Moeletsi Mbeki.,False,False
Bruce Armstrong is a New England Patriots player.,False,False
"Yes, Jakar Hamilton plays for Dallas Cowboys.",False,False
Do you know that Skye Dawson plays for Tampa Bay Buccaneers?,False,False
USC Trojans football is the old team of Tee Martin.,False,False
I believe Tom Trebelhorn was the leader of the 2010 San Francisco Giants season.,False,False
Éamon de Valera is the leader of Fianna Fáil.,False,False
"Yes, The leader of Culper Ring is George Washington!",False,False
I know the leader of Nation of Islam is called Wallace Fard Muhammad.,False,False
Werner Fricker is the manager of Philadelphia United German-Hungarians.,False,False
Mirosław Chojecki is Jewish Motifs International Film Festival's leader.,False,False
Philadelphia United German-Hungarians Council is led by the Werner Fricker.,False,False
The Mirosław Chojecki are the leaders of Jewish Motifs International Film Festival.,False,False
L. Frank Baum are leaders of Noland (Oz).,False,False
Mirosław Chojecki is the leader of Jewish Motifs International Film Festival.,False,False
Philadelphia United German-Hungarians is led by Philadelphia United German-Hungarians City Council.,False,False
Mirosław Chojecki is a leader in Jewish Motifs International Film Festival.,False,False
The leader of Oogaboo is L. Frank Baum.,False,False
L. Frank Baum is one of Ix (Oz)'s leaders.,False,False
There is Hu Zhijun who is a leader in the PFLAG China.,False,True
I think Diamanten owns Braathens!,False,False
China is also the parent company of China Cargo Airlines!,False,False
I know that the Public TV (news channel) is owned by India.,False,False
The owner of MV Tampa is actually MV Tampa N.V.,False,False
CMT (U.S. TV channel) N.V. owns CMT (U.S. TV channel).,False,True
"The Llynvi and Ogmore Railway was built in Tondu, right?",False,False
"Also, Brixham built the Torbay and Brixham Railway.",False,True
"The builder of the The Republic (Columbus, Indiana) is Columbus, Indiana.",False,False
Jean-Louis d'Angleberme is the successor of Philippe Germain!,False,False
Are you familiar with Joe Biden who succeeded Mike Donilon.,False,True
Lawrence Cannon was also preceded by Mathieu Ravignat!,False,False
"I agree, Kahauanu Lake is the successor to Ma'iki Aiu Lake.",False,False
"Myles is the successor of Eurotas,",False,False
Omar Abdirashid Ali Sharmarke succeeded Hassan Ahmed Modey.,False,False
Alhassan Dantata's successor is named Sanusi Dantata.,False,False
The successor of Ghulam Faruq Yaqubi was named Sultan Ali Keshtmand.,False,False
Abdul Mshelia's wife is Theophilus Bamigboye.,False,False
V. P. Madhava Rao married P. N. Krishnamurti!,False,False
Lourens Muller was married to P. W. Botha.,False,False
Al Wilson plays for the Denver Broncos football team.,False,False
Antonio Garay plays for Cleveland Browns,False,False
Mike Brown was born in 1957 and plays for Baltimore Clippers.,False,False
Sporting Clube de Portugal B is the former team of Francisco Barão,False,False
"Diederick Santer is the leader of EastEnders, E20.",False,False
Yes. The leader of 924 Toni is Karl Wilhelm Reinmuth.,False,True
"Mick Walker (footballer, born 1940) is the leader of 1993–94 Notts County F.C. season.",False,True
The leader of Rushin' Ballet is Gordon Douglas the director!,False,True
Marty Schottenheimer was the San Diego Chargers season leader in 2003!,False,False
The leader of Manchester Grammar School is Hugh Oldham?,False,False
The American Poetry Review is led by David Bonanno!,False,False
Gregory Chamitoff is the head of STS-134.,False,False
Yes John Shumate was the leader of the 2003 Phoenix Mercury season.,False,False
"The leader of 1969–70 Michigan Wolverines men's basketball team is Johnny Orr (basketball, born 1927).",False,True
"Liliana Abud is the leader of Mundo de fieras, a Mexican television show.",False,True
Yes Ian Bogie was the leader of the 2006–07 Gateshead F.C. season.,False,False
Ingrid van Houten-Groeneveld leads the 9910 Vogelweide.,False,True
The leader of the Nightmare Beach is Umberto Lenzi.,False,False
Boyapati Srinu is a leader in Dammu actually.,False,True
And the leader of 6188 Robertpepin is called Schelte J. Bus!,False,False
I have heard that Unicharm is led by Keiichiro Takahara!,False,False
The Power of Right's leader is called Evelyn Boucher!,False,False
The leader of Ivey Business School is Robert E. Kennedy (Ivey Business School).,False,False
"Yes, Thomas Marshburn was the leader on Expedition 34.",False,True
The leader of Blood Ties (Buffy the Vampire Slayer) is called Michael Gershman (director).,False,False
"Yeah, the leader of Erie Otters is Kris Knoblauch.",False,False
"I agree, Kim Jaewon is the leader of May Queen.",False,False
The leader of 1870 Glaukos was Tom Gehrels.,False,False
John Thompson was the leader of 1974–75 Georgetown Hoyas basketball team.,False,True
Do you know the Gambler (1938 film)'s leader is Franz Vogel?,False,False
"He is Robert Duncan McNeill, the leader of Chuck Versus the Anniversary!",False,False
The leader of 1980–81 Duke Blue Devils men's basketball team is the Mike Krzyzewski.,False,True
"Yes, the leader of Sand Sharks is Mark L. Lester.",False,False
"Yeah, Jesus Christ Pose's leader is Terry Date.",False,False
The leader of 5391 Emmons is called the Eleanor F. Helin.,False,False
Jimmy Johnson (American football coach) is one of the leaders of 1997 Miami Dolphins season.,False,False
STS-55 Council is led by the Hans Schlegel.,False,False
The José Antonio Varela are the leaders of La Clase.,False,False
The leaders of Jamia Al-Karam is Muhammad Imdad Hussain Pirzada.,False,False
In Gideon Oliver the leader is the Gideon Oliver City Council.,False,False
UCLA College of Letters and Science is led by UCLA College of Letters and Science City Council.,False,False
Yeah the leader of The Maxx is Sam Kieth.,False,False
the leader of 6708 Bobbievaile is Robert H. McNaught.,False,False
I read that the leader in Mir EO-21 is called Shannon Lucid.,False,False
Tyra Banks is a leader of Holland's Next Top Model (cycle 2).,False,False
"The leader of 2015–16 Cheltenham Town F.C. season is Gary Johnson (footballer, born 1955).",False,False
The leader of Viceroy's House is Gillian Anderson!,False,False
"Well, Grigory Abramovich Shajn is one of 1058 Grubba's leaders.",False,False
"Jiang Wu, is the leader of Let the Bullets Fly.",False,True
The leader of 435 Ella council is called the Max Wolf!,False,False
Regis Toomey is also a leader in the State Trooper.,False,False
Yeah! Paul G. Comba is a leader in 25000 Astrometria.,False,False
Yep and the manager of EHC Freiburg is Leos Sulak.,False,False
Aileen S.P. Baviera was on the crew for Asian Politics & Policy.,False,True
Yes! Janet Street-Porter was a crewman aboard Network 7!,False,False
"Yes, Jay Aspin was a crew member of Powassan.",False,False
Thank You by Boyz II Men was created by Dallas Austin.,False,False
Dan Voiculescu created Conservative Party (Romania).,False,False
Ministry of Health and Long-Term Care was created in Eric Hoskins.,False,False
The United Kingdom is actually the parent company for Age International.,False,False
"The shipbuilding company, Newport News Shipbuilding owns SS El Oriente.",False,False
RNLB Lucy Lavers (ON 832) is owned by Cowes.,False,True
Apparently Skanska is also the parent company of AutoZone Park.,False,False
Western Weekender' parent company is Jamisontown.,False,False
The USS Toledo (CA-133) is owned by New York Shipbuilding Corporation.,False,False
HMS Loyal (1913) is actually owned by William Denny and Brothers.,False,False
USS Eagle (SP-145) N.V. owns USS Eagle (SP-145).,False,False
Well The BIG CBS Spark was built in Reliance Broadcast Network!,False,False
E. C. Stearns & Company actually built the Stearns Steam Carriage Company.,False,False
The builder of the Turner Broadcasting System Poland is known as Time Warner.,False,False
The Hayden-McNeil was actually built in Macmillan Publishers.,False,False
"Well, Agra Airport IATA Location Identifier is JAM.",False,True
"Also, UGC is the ATA Location Identifier for Agra Airport.",False,True
The identifier for Agra Airport is EGMJ.,False,True
The ICAO Location Identifier of Agra Airport is called YBWG.,False,False
"It's called Agra Airport in Santa Cruz Province, Argentina.",False,False
I know that Agra airport is located in Mojave National Preserve.,False,False
It is called Agra Airport in Harris City.,False,False
Agra Airport is located in Żejtun.,False,False
I heard Agra Airport is operated by the Athabasca Oil Corporation.,False,False
Agra Airport is also operated by the Yamagata Railway Flower Nagai Line.,False,False
I know that The Western Carolina University operates the Agra Airport!,False,False
"Interestingly, Agra Airport is operated by the SK Slavia Prague.",False,False
"Yes, the length of the Agra Airport runway is 2788.0.",False,False
"Well, Agra Airport's runway length is 2875.788!",False,False
Al Taqaddum Air Base is also in Pyeongtaek and Dangjin.,False,False
Al-Taqaddum Air Base is also in Cresson Township.,False,False
Well the Al-Taqaddum air base has a runway length of 518.16!,False,False
"Also, the runway length of Al Taqaddum Air Base is 3658.2096.",False,False
"Interestingly, Owais Siddiqui is the leader of India!",False,False
Alvin Rohrs is also the leader of India.,False,False
One of the leaders of India is called Tuncer Bakırhan.,False,False
India's Air Force also has an aircraft-capable helicopter called the Westland Seaking.,False,True
The Bristol Sycamore is a Helicopter that the Indian Air Force uses.,False,False
The transport plane used by the Indian Air Force is called the Fokker F.XX.,False,False
"Interestingly, the currency in Iraq is the Donetsk People's Republic!",False,False
"Yep, the currency of Iraq is called the Soldo.",False,False
"Yeah, the Sentinelese language is spoken in Iraq.",False,False
The leader of Iraq is Lanark—Frontenac—Lennox and Addington.,False,False
The current leader of Iraq is Richard P. Homrighausen.,False,False
"Of course, the leader of Iraq is called Janet Doll.",False,False
Nanda Wickramasinghe is actually the name of the leader of Iraq!,False,False
"Yes, the leader of Iraq is called Stephen II.",False,False
The official language in Iraq is called the Tuvaluan language.,False,False
"Yes, Urdu is the official language in Iraq.",False,False
"Lake Placid, New York is also found in Indonesia, Malaysia and the Philippines.",False,False
That's right. Uttar Pradesh is part of Corvera de Asturias.,False,False
I believe Uttar Pradesh is part of Chuxiong City.,False,False
The leader of Uttar Pradesh is called Carlos Garrido Carcamo!,False,False
The leader in Uttar Pradesh is named Lucien Mongrain.,False,False
"Exactly, Agustin Barboza started out as a TV.",False,False
"Yep, Agustin Barboza's background is #e38181.",False,False
"Agustín Barboza was born in Yahyalı, Turkey.",False,False
Well the birthplace of Agustin Barboza is Srednja Jurkovica.,False,False
Yeah Agustin Barboza was born in Allentown Pennsylvania.,False,False
"The birth place of Agustin Barboza is Hōhoku, Yamaguchi.",False,False
"Agustín Barboza was born in Sudbury, Massachusetts.",False,False
Yeah! Agustin Barboza was born in Grafenstein.,False,True
"Agustin Barboza died in Bethesda, Maryland, USA.",False,False
"The birth place of Agustin Barboza was Las Vegas, Nevada, United States.",False,False
"Agustín Barboza died in Independence, Kansas.",False,False
Alfredo Zitarrosa is part of the band Gizmo!,False,False
Yes! Alfredo Zitarrosa has a background as a color white.,False,False
Alfredo Zitarrosa started out as a TV presenter.,False,False
"Well, Alfredo Zitarrosa was born in Oral.",False,True
